seed,decisions,mean_decision_interval_h,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000051,160,4.5,-2.6832789288764194,128981.17360926494,101278.0480320445,10695.767301604994,0.7852157427164977,621464.5800000078,938400.0,41523.99969313824,3663.000000000005,2976.1875000000055,1608027.767193146,855661.3841283998,0.0,219589.777554873,1827617.544748019,2463689.1513215457,2683278.9288764186,26.494180930772142,0,1.7543040551245213
9000052,173,4.161849710982659,-1.9094904261577719,130292.35070980627,119060.85829950406,0.0,0.9137977605813747,653845.5000000073,997050.0000000006,48814.95190279674,3891.9375000000064,3663.0000000000055,1707265.3894028047,0.0,0.0,202225.0367549675,1909490.426157772,1707265.3894028047,1909490.426157772,16.037936005419557,0,1.3893044260330498
9000053,234,3.076923076923077,-1.8151756898821687,119353.23535741051,103321.52927151477,0.0,0.8656784959545686,643467.0000000068,870805.9094306189,42361.827001321035,3399.1496656482927,3205.1250000000045,1563239.011097595,0.0,0.0,251936.67878457397,1815175.689882169,1563239.011097595,1815175.689882169,17.56822322201733,0,1.9736645901575685
9000054,193,3.7305699481865284,-2.505691600007363,132093.2010707144,104461.32423052668,7024.000944897458,0.7908152984694848,682490.1600000081,938399.9999999998,42829.14293451596,3663.0000000000023,3421.474420078579,1670803.7773546025,561920.0755917967,0.0,272967.7470609643,1943771.5244155668,2232723.8529463992,2505691.6000073636,23.98678763135119,0,1.990845745895058
9000055,205,3.5121951219512195,-2.4895245062128875,124998.78160566899,92842.27413434723,7683.941716154738,0.7427454327293748,678753.900000009,866069.4845102417,38065.33239508237,3380.6612550735485,2771.6700000000023,1589041.0481604065,614715.3372923791,0.0,285768.1207601019,1874809.1689205084,2203756.3854527855,2489524.5062128874,26.814557586239495,0,1.5933555881492794
9000056,221,3.257918552036199,-2.521664115224125,126854.31280836993,100265.38290205115,7526.76323885606,0.7903979035660786,687886.9800000093,878119.6762936069,41108.80698984104,3427.698608550176,2976.187500000004,1613519.3493920073,602141.0591084851,0.0,306003.70672363346,1919523.0561156408,2215660.4085004926,2521664.115224126,25.149897624063627,0,1.750547151081264
9000057,207,3.4782608695652173,-2.1548138550767733,122972.65226763315,108462.56306719047,3509.8364850422586,0.8820055603187003,689962.6800000069,886612.0289542841,44469.650857548084,3460.848105349046,3205.125000000004,1627710.332917188,280786.9188033806,0.0,246316.60335620464,1874026.9362733928,1908497.2517205686,2154813.855076773,19.866890419525745,0,1.0530134229920805
9000058,175,4.114285714285714,-1.9374653720618695,126103.88537882672,113601.81371666842,705.2935816027692,0.9008589495509911,656336.3400000079,993828.3482337145,46576.74362383408,3879.3619347614026,3663.000000000005,1704283.793792318,56423.486528221554,0.0,176758.0917413297,1881041.8855336478,1760707.2803205396,1937465.3720618694,17.05488062799821,0,1.419263919815421
9000059,185,3.891891891891892,-1.9085214929442484,125978.9416694392,110463.78122217879,0.0,0.8768432228302789,665054.2800000072,938400.0000000001,45290.15030109335,3663.000000000003,3434.0625000000055,1655841.4928011005,0.0,0.0,252680.00014314728,1908521.4929442478,1655841.4928011005,1908521.4929442478,17.277350746355378,0,1.5399314258247614
9000060,168,4.285714285714286,-1.9025913625424178,126857.6135473692,109577.90194977127,0.0,0.8637865626319259,711134.8200000081,938400.0,44926.9397994062,3663.0000000000055,3278.3850000000043,1701403.1447994143,0.0,0.0,201188.21774300304,1902591.3625424174,1701403.1447994143,1902591.3625424174,17.36291103122721,0,1.318129498977214
