seed,stage,time_limit_s,wall_time_s,status,objective_value,best_bound,relative_gap,termination_reason,warm_start_requested,warm_start_accepted,total_variables,initialized_variables,missing_variable_count,bound_violation_count,integrality_violation_count,total_constraints,evaluated_constraints,partial_constraint_count,violated_constraint_count,max_constraint_violation,top_violations
9000046,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243798,181122,62676,2,4.2484732148295734e-05,"[{""constraint"": ""_C243593"", ""residual"": -4.2484732148295734e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 4.2484732148295734e-05}, {""constraint"": ""_C243594"", ""residual"": 4.104206846022862e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 4.104206846022862e-05}]"
9000047,weighted,18000.0,18016.000314794015,Integer Feasible,1831302.291208976,1638151.8106,0.10547165344366129,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000047,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243958,181282,62676,2,2.5098193873418495e-05,"[{""constraint"": ""_C243753"", ""residual"": -2.5098193873418495e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 2.5098193873418495e-05}, {""constraint"": ""_C243754"", ""residual"": -2.2852117581351195e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 2.2852117581351195e-05}]"
9000048,weighted,18000.0,18016.49967808416,Integer Feasible,2588329.138370781,-193718.79635,1.074843184925058,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000048,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243958,181282,62676,2,4.108572284167167e-05,"[{""constraint"": ""_C243752"", ""residual"": -4.108572284167167e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 4.108572284167167e-05}, {""constraint"": ""_C243754"", ""residual"": 3.3079827971960185e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 3.3079827971960185e-05}]"
9000049,weighted,18000.0,18015.75262036873,Integer Feasible,1840479.7749805038,1509501.9854,0.179832342674893,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000049,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243866,181190,62676,2,3.108899136350374e-05,"[{""constraint"": ""_C243660"", ""residual"": -3.108899136350374e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 3.108899136350374e-05}, {""constraint"": ""_C243661"", ""residual"": -2.029339839282329e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 2.029339839282329e-06}]"
9000050,weighted,18000.0,18015.5219249879,Integer Feasible,2332346.057429111,1677849.0937,0.28061743309676235,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000050,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243882,181206,62676,3,3.557588570402004e-05,"[{""constraint"": ""_C243678"", ""residual"": 3.557588570402004e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 3.557588570402004e-05}, {""constraint"": ""_C243676"", ""residual"": 3.278535268691485e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 3.278535268691485e-05}, {""constraint"": ""_C243677"", ""residual"": 1.8674405737328925e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 1.8674405737328925e-06}]"
9000051,weighted,18000.0,18015.401262705214,Integer Feasible,1932977.2340721246,1655403.5125,0.14359906401348108,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
