seed,decisions,simulated_hours,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,operating_cost_eur,vented_t,stored_t,captured_t,storage_rate,loss_rate,cost_per_stored_t_eur,unit_total_cost_eur_per_t
9000041,720,720.0,818656.0800000093,416024.0,16682.862308460415,1623.930000000001,1312.575,1254299.4473084698,4098393.623738836,0.0,5352693.071047306,413489.8013226981,5766182.872370005,1667789.248631168,51229.92029673541,40689.90806941569,125444.62651394652,0.32436549256967906,0.4083867258438514,141.71039321428498,141.71039321428498
9000042,720,720.0,821977.2000000098,358904.7367228541,10446.738478495272,1400.967658371499,714.1551583714985,1193443.798018102,4336537.82947608,0.0,5529981.627494182,452518.97950486396,5982500.606999046,1645962.777522966,54206.7228684509,25479.8499475495,122590.33961068436,0.20784549605186675,0.44217776898732497,234.79340024819916,234.79340024819916
9000043,720,720.0,825298.3200000098,434792.0,14968.639260562602,1697.190000000001,1019.5349999999993,1277775.6842605723,3513122.4178231116,0.0,4790898.102083684,458193.4950000001,5249091.597083684,1735969.1792605724,43914.03022278897,36508.87624527475,122999.51700733569,0.29682129762426107,0.3570260379166362,143.77576460636914,143.77576460636914
9000044,720,720.0,825298.32000001,387090.0,12394.826204059738,1510.9875000000006,824.1749999999996,1227118.3087040698,4552379.455200059,0.0,5779497.763904129,476591.8125000001,6256089.576404129,1703710.1212040698,56904.743190000736,30231.28342453604,129859.10158151455,0.23280065129327418,0.43820373386982625,206.9409190655339,206.9409190655339
9000045,720,720.0,816165.2400000097,462162.0,15488.048224868558,1804.0275000000015,1150.7924999999996,1296770.108224878,4070613.0067824605,0.0,5367383.115007339,414320.3784684999,5781703.493475839,1711090.486693378,50882.66258478075,37775.727377728246,125440.6630420947,0.3011441940884167,0.40563132680274355,153.05339949283427,153.05339949283427
9000046,720,720.0,812428.9800000099,473605.55482258106,17436.065933707694,1848.6968748029792,1161.8843748029783,1306481.1820059044,4163665.6533311815,0.0,5470146.835337086,445041.1725000001,5915188.007837086,1751522.3545059045,52045.820666639884,42526.99008221402,132406.07380064274,0.32118609714418994,0.3930772899814452,139.09256207414933,139.09256207414933
9000047,720,720.0,824883.1800000097,384744.0,15597.464662744183,1501.8300000000008,1053.1124999999995,1227779.587162754,5048015.846332442,0.0,6275795.433495196,403752.7785787022,6679548.212073898,1631532.3657414562,63100.19807915548,38042.5967384005,128277.74695956499,0.2965642727603571,0.4919029182750269,175.580764320736,175.580764320736
9000048,720,720.0,824052.9000000097,417724.74437481794,14278.154598692992,1630.5687751971004,943.7562751970986,1258630.1240239146,4632929.695069328,0.0,5891559.819093242,405736.3959839899,6297296.215077233,1664366.5200079044,57911.62118836664,34824.76731388538,131010.22127700872,0.2658171780372136,0.4420389540898339,180.82809163713682,180.82809163713682
9000049,720,720.0,817825.80000001,428536.0,17091.421980168736,1672.7700000000011,1141.6349999999995,1266267.6269801788,3516136.116539238,0.0,4782403.743519417,449378.42795411544,5231782.171473533,1715646.0549342942,43951.70145674047,41686.395073582375,124881.76991963951,0.3338068887108764,0.3519464969548643,125.50334856824867,125.50334856824867
9000050,720,720.0,811598.7000000101,483276.0,16748.6493028294,1886.4450000000015,1199.6324999999997,1314709.4268028394,4200120.977824174,0.0,5514830.404627013,416925.1809934336,5931755.585620446,1731634.607796273,52501.51222280221,40850.36415324245,132171.66508378548,0.3090705116512441,0.39722214431906233,145.20692063768593,145.20692063768593
