algorithm,algorithm_display_name,method_class,model_seed,test_seed,episode_hours,decision_count,mean_decision_interval_h,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,total_cost_eur,captured_t,stored_t,vented_t,storage_rate,loss_rate,unit_total_cost_eur_per_t,greedy_total_cost_eur,delta_total_cost_vs_greedy_eur,paired_outcome_vs_greedy,hard_violations,override_events,proposed_override_events,selected_interventions,effective_intervention_rate,solver_replan_count,solver_failure_count,solver_timeout_count,fallback_used,wall_clock_seconds,source_file
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000052,720,109,6.605504587155964,532209.4800000067,938400.0000000005,44376.05559893795,3663.0000000000005,3434.0625000000045,1522082.598098945,122988.69995657944,0,1645071.2980555245,290803.2297945434,1812885.8278934886,1935874.527850068,130292.35070980627,108234.28194862914,1537.3587494572423,0.8307032712127055,0.011799301655715197,17.88596452987867,2247524.9646282806,-311650.43677821266,win,0,,,11,0.10091743119266056,,,,,1.858495560940355,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000053,720,89,8.089887640449438,502319.40000000567,838741.4541212403,42748.42109036802,3273.987581464312,3174.32333423515,1390257.5861273133,0,0,1390257.5861273133,278373.6837557945,1668631.2698831079,1668631.2698831079,119353.23535741051,104264.4416838243,0,0.8735786790496136,0,16.003838345417247,1896455.7981864524,-227824.5283033445,win,0,,,4,0.0449438202247191,,,,,3.144007593858987,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000054,720,94,7.659574468085107,564175.260000006,841201.8552861862,35918.12548720539,3283.591640998822,2643.4083077428368,1447222.2407221391,1616614.3406318512,0,3063836.5813539904,285118.30762688216,1732340.5483490212,3348954.8889808725,132093.20107071442,87605.18411513502,20207.67925789816,0.6632073672606109,0.15298046450611968,38.227816342232806,3352607.0985221015,-3652.2095412290655,win,0,,,6,0.06382978723404255,,,,,3.106398830190301,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000055,720,109,6.605504587155964,619388.8800000073,907889.6737870713,42857.587427186685,3543.904385211046,3179.883690122771,1576859.9292895992,392817.9083131718,0,1969677.837602771,254523.87311800363,1831383.8024076028,2224201.7107207747,124998.78160566899,104530.70104191874,4910.223853914651,0.8362537594300682,0.039282173720739375,21.277975643048915,2379682.1687872596,-155480.4580664849,win,0,,,10,0.09174311926605505,,,,,2.7461612769402564,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000056,720,112,6.428571428571429,584101.9800000046,953037.3027966279,42983.23590884585,3720.136018908836,3115.741018908838,1586958.395743296,56723.91144001419,0,1643682.3071833102,270775.77089844155,1857734.1666417376,1914458.0780817517,126854.31280836993,104837.16075328244,709.0488930001774,0.8264374969391283,0.005589474077016906,18.261254543006213,2271381.0938170906,-356923.0157353389,win,0,,,13,0.11607142857142858,,,,,2.748901595827192,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000057,720,96,7.5,581196.0000000064,908628.2817060094,43941.90266720839,3546.7875062756934,3165.8335036338585,1540478.8053831337,301706.9701363842,0,1842185.775519518,226764.73599701584,1767243.5413801495,2068950.5115165338,122972.65226763315,107175.37235904485,3771.3371267048024,0.8715382679214914,0.03066809617553831,19.304346380858913,2380858.3660164326,-311907.85449989885,win,0,,,5,0.052083333333333336,,,,,1.5967985899187624,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000058,720,93,7.741935483870968,552551.3400000032,868697.3069017418,41314.92534548049,3390.918835444464,3084.225618218336,1469038.716700888,475120.7016671173,0,1944159.4183680052,249464.99451347144,1718503.7112143594,2193624.412881477,126103.88537882672,100768.11059873305,5939.008770838967,0.7990880716800846,0.04709616006673929,21.76903387239908,2172908.6218546,20715.791026876774,loss,0,,,6,0.06451612903225806,,,,,2.219317100942135,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000059,720,109,6.605504587155964,577874.8800000076,884246.5489335844,42237.25503566734,3451.6145660099287,3370.526191766902,1511180.8247270363,414961.84240089817,0,1926142.6671279345,275873.3409238563,1787054.1656508925,2202016.0080517908,125978.9416694392,103017.69520894473,5187.023030011227,0.8177374237613193,0.041173730794005624,21.375123988025273,2212831.2094909954,-10815.201439204626,win,0,,,9,0.08256880733944955,,,,,2.478281980380416,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000060,720,104,6.923076923076923,577459.7400000038,801790.5656069956,41161.85268848217,3129.75153646465,2976.187500000003,1426518.0973319463,762728.4467778304,0,2189246.5441097766,264180.7191007257,1690698.816432672,2453427.2632105025,126857.6135473692,100394.76265483469,9534.105584722864,0.7913972196658645,0.07515595885904622,24.43780131883556,2521676.157625502,-68248.89441499952,win,0,,,13,0.125,,,,,1.8889210429042578,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,1,9000031,720,131,5.4961832061068705,630597.6600000075,947075.6771164398,44720.37890917409,3696.8650951380237,3395.1392770666257,1629485.720397826,879038.9376193265,0,2508524.6580171525,233670.73941255242,1863156.4598103785,2742195.3974297047,134043.80710806392,109074.09490042455,10987.98672024159,0.8137197626182819,0.08197310235588322,25.14066607596513,2293017.35099732,449178.04643238476,loss,0,,,14,0.10687022900763359,,,,,2.9992917771451175,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_1/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,1,9000032,720,95,7.578947368421052,550890.7800000058,803465.3445642844,39176.89829973663,3136.288956882965,2940.9289568829695,1399610.2407777929,497271.22185273864,0,1896881.4626305315,278661.70203535905,1678271.942813152,2175543.1646658904,118765.80374023803,95553.41048716256,6215.890273159236,0.8045532255745509,0.052337373868613694,22.767823289344246,1766211.2553052178,409331.9093606726,loss,0,,,6,0.06315789473684211,,,,,1.1177509920671582,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_1/results.csv
