case_id,time_h,captured_t,stored_t,vented_t,emitter_inventory_t,vessel_inventory_t,terminal_inventory_t,reservoir_inventory_t,system_mass_balance_error_t,mean_capture_multiplier,minimum_speed_factor,available_well_fraction
formal_medium_720h,534.0,93527.97835489882,79196.34367470659,2413.949452495982,10635.82711342525,7500.0,5867.579908675804,4512321.178202471,5.0684320740401745e-08,1.2424560285575168,1.0,1.0
formal_medium_720h,535.0,93735.53920312908,79481.73180256046,2413.949452495982,10843.387961655508,7500.0,5582.191780821923,4512606.566330325,5.0917151384055614e-08,1.2180013961166427,1.0,1.0
formal_medium_720h,536.0,93926.15672087352,79767.11993041434,2413.949452495982,11034.005479399944,6700.0,6096.803652968042,4512891.954458179,5.1601091399788857e-08,1.2849293414359217,1.0,1.0
formal_medium_720h,537.0,94142.75167578647,80052.50805826821,2413.949452495982,11250.600434312884,5900.0,6611.415525114161,4513177.342586033,5.120818968862295e-08,1.0254374645620736,1.0,1.0
formal_medium_720h,538.0,94324.85458985079,80337.89618612209,2413.949452495982,11432.703348377201,5100.0,7126.02739726028,4513462.730713887,5.200854502618313e-08,1.4344068370116447,1.0,1.0
formal_medium_720h,539.0,94544.42686626864,80623.28431397596,2413.949452495982,11652.27562479505,4300.0,7640.639269406399,4513748.118841741,5.2255927585065365e-08,1.0722177509361437,1.0,1.0
formal_medium_720h,540.0,94734.85721201808,80908.65125849746,2413.949452495982,11842.705970544488,3500.0,8155.272324884904,4514033.485786263,5.2299583330750465e-08,1.1732756807552065,1.0,1.0
formal_medium_720h,541.0,94947.87659407796,81193.59551155198,2413.949452495982,12055.725352604371,2700.0,8670.328071830389,4514318.430039317,5.199399311095476e-08,0.895808182378884,1.0,1.0
formal_medium_720h,542.0,95100.7430234583,81478.15058844,2413.949452495982,12208.591781984718,1935.7729949423756,9150.0,4514602.985116205,5.1790266297757626e-08,1.170780140967058,1.0,1.0
formal_medium_720h,543.0,95273.39207222783,81762.33890303878,2413.949452495982,12381.240830754243,1651.5846803435907,9150.0,4514887.173430804,5.2110408432781696e-08,1.1194906248187395,1.0,1.0
formal_medium_720h,544.0,95441.81902212875,82046.17822962986,2413.949452495982,12549.667780655163,1367.7453537524984,9150.0,4515171.012757395,5.269248504191637e-08,0.9426641050309978,1.0,1.0
formal_medium_720h,545.0,95619.88204721236,82329.68365943882,2413.949452495982,12727.730805738775,1084.2399239435515,9150.0,4515454.518187204,5.247420631349087e-08,1.3014061095400264,0.7177117489272871,1.0
formal_medium_720h,546.0,95838.8168694415,82612.86846698936,2413.949452495982,12946.66562796792,801.0551163930113,9150.0,4515737.702994755,5.113543011248112e-08,0.9412189660108,0.7177117489272871,1.0
formal_medium_720h,547.0,95972.89687934982,82895.74457782425,2413.949452495982,13080.745637876233,518.1790055581105,9150.0,4516020.57910559,5.1237293519079685e-08,1.2176264574749915,0.7177117489272871,1.0
formal_medium_720h,548.0,96175.89945193693,83178.32285476346,2413.949452495982,13283.748210463347,235.60072861890092,9150.0,4516303.157382528,5.181937012821436e-08,0.7876153594867968,1.0,1.0
formal_medium_720h,549.0,96309.76903969744,83460.61328904642,2413.949452495982,13417.617798223851,0.0,9103.31029433594,4516585.4478168115,5.173205863684416e-08,1.2900750960834138,1.0,1.0
formal_medium_720h,550.0,96538.66928938728,83742.62513637132,2413.949452495982,13646.518047913703,0.0,8821.298447011039,4516867.459664136,5.1702954806387424e-08,0.8798081413905091,1.0,1.0
formal_medium_720h,551.0,96689.53608388068,84024.36701851392,2413.949452495982,13797.384842407107,0.0,8539.55656486845,4517149.201546279,5.135370884090662e-08,1.0470052450844978,1.0,1.0
formal_medium_720h,552.0,96869.24752794826,84305.84700213866,2413.949452495982,13977.096286474685,0.0,8258.076581243704,4517430.681529904,5.154288373887539e-08,1.0663747365315344,1.0,1.0
formal_medium_720h,553.0,97034.17575463705,84587.07266176213,2413.949452495982,14142.024513163477,0.0,7976.850921620246,4517711.9071895275,5.163019523024559e-08,1.1210600823861079,0.63126774996472,1.0
formal_medium_720h,554.0,97216.33692950929,84868.05113126685,2413.949452495982,14324.185688035708,0.0,7695.872452115514,4517992.8856590325,5.22850314155221e-08,0.9625507251091339,0.63126774996472,1.0
formal_medium_720h,555.0,97394.2656878657,85148.78914687068,2413.949452495982,14502.11444639212,0.0,7415.134436511689,4518273.623674637,5.25906216353178e-08,0.9424177654557774,0.63126774996472,1.0
formal_medium_720h,556.0,97553.11825729162,85429.29308354257,2413.949452495982,14660.967015818034,0.0,7134.630499839811,4518554.127611308,5.21540641784668e-08,1.022926180303336,0.63126774996472,1.0
formal_medium_720h,557.0,97724.23318068635,85709.56898627446,2413.949452495982,14832.081939212774,0.0,6854.354597107914,4518834.403514041,5.26342773810029e-08,1.0373955451633226,0.63126774996472,1.0
formal_medium_720h,558.0,97914.64268220116,85989.62259723467,2413.949452495982,15022.491440727585,0.0,6574.300986147701,4519114.457125001,5.222682375460863e-08,0.9161204275579738,0.63126774996472,1.0
formal_medium_720h,559.0,98091.90741765681,86269.45937956704,2413.949452495982,15199.756176183238,0.0,6294.464203815337,4519394.293907333,5.3129042498767376e-08,1.3304187942762227,0.63126774996472,1.0
formal_medium_720h,560.0,98317.53387029188,86549.08453841804,2413.949452495982,15425.382628818314,0.0,6014.839044964325,4519673.919066184,5.309993866831064e-08,0.8905611471992002,0.63126774996472,1.0
formal_medium_720h,561.0,98438.95040701579,86828.50303964344,2413.949452495982,15546.799165542221,0.0,5735.420543738925,4519953.3375674095,5.24596543982625e-08,1.256620941338013,0.63126774996472,1.0
formal_medium_720h,562.0,98646.94624663936,87107.71962655048,2413.949452495982,15754.795005165797,0.0,5456.203956831891,4520232.554154317,5.3551048040390015e-08,0.8685322471977872,0.63126774996472,1.0
formal_medium_720h,563.0,98783.68752074333,87386.738834961,2413.949452495982,15091.536279269772,800.0,5177.184748421377,4520511.573362728,5.309993866831064e-08,1.1517687645997197,0.63126774996472,1.0
formal_medium_720h,564.0,98980.23113041927,87665.56500682674,2413.949452495982,14488.07988894571,1600.0,4898.358576555632,4520790.399534593,5.311449058353901e-08,0.8287744234631522,0.63126774996472,1.0
