contrast,left,right,deterministic,metric,mean_difference,ci95_lower,ci95_upper
future_effect_edge,edge_fixed,edge_original,False,stored_t,-2081.9943898348633,-10147.434686405846,5983.445906736119
capacity_effect_original,large_original,small_original,False,stored_t,6054.41172424088,1296.7044147808247,10812.119033700936
capacity_effect_fixed,large_fixed,small_fixed,False,stored_t,-125.19808253351657,-6430.226875496543,6179.830710429509
graph_effect_original,edge_original,large_original,False,stored_t,-14639.401319163884,-21975.060646985607,-7303.74199134216
graph_effect_fixed,edge_fixed,large_fixed,False,stored_t,-15559.124487089264,-23400.157296659534,-7718.091677518993
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),False,stored_t,-919.7231679253804,-10057.301296808693,8217.854960957933
future_effect_small,small_fixed,small_original,False,operating_cost,19469.12524750163,-1338.2809602930538,40276.53145529631
future_effect_large,large_fixed,large_original,False,operating_cost,-5272.869912078325,-39997.352404936486,29451.612580779834
future_effect_edge,edge_fixed,edge_original,False,operating_cost,-10507.584104947793,-51609.532196943255,30594.363987047665
capacity_effect_original,large_original,small_original,False,operating_cost,17000.2498098047,-10246.216391047583,44246.71601065698
capacity_effect_fixed,large_fixed,small_fixed,False,operating_cost,-7741.745349775255,-42917.577013405426,27434.086313854914
graph_effect_original,edge_original,large_original,False,operating_cost,-60940.2146476794,-117023.34220005755,-4857.087095301242
graph_effect_fixed,edge_fixed,large_fixed,False,operating_cost,-66174.92884054888,-110485.98207921779,-21863.87560187996
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),False,operating_cost,-5234.714192869467,-51600.67562829064,41131.247242551704
future_effect_small,small_fixed,small_original,False,total_cost,-298996.7992332963,-553322.5510283295,-44671.04743826305
future_effect_large,large_fixed,large_original,False,total_cost,70694.05683515873,-50689.58233243735,192077.6960027548
future_effect_edge,edge_fixed,edge_original,False,total_cost,120472.21477071792,-347241.21338361455,588185.6429250505
capacity_effect_original,large_original,small_original,False,total_cost,-361478.52346980094,-605826.9947876021,-117130.05215199979
capacity_effect_fixed,large_fixed,small_fixed,False,total_cost,8212.33259865404,-267944.11836037703,284368.7835576851
graph_effect_original,edge_original,large_original,False,total_cost,826752.9615427447,380928.4350395034,1272577.4880459858
graph_effect_fixed,edge_fixed,large_fixed,False,total_cost,876531.1194783038,346175.50995551515,1406886.7290010925
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),False,total_cost,49778.15793555919,-483133.52924304444,582689.8451141628
future_effect_small,small_fixed,small_original,False,cost_per_stored_t,-0.6458643946042081,-1.3607732687404424,0.06904447953202619
future_effect_large,large_fixed,large_original,False,cost_per_stored_t,0.13313588669662196,-0.19088090411580944,0.45715267750905336
future_effect_edge,edge_fixed,edge_original,False,cost_per_stored_t,0.3391360406168708,-1.030714612599287,1.7089866938330287
capacity_effect_original,large_original,small_original,False,cost_per_stored_t,-0.8752515151458702,-1.506786689728313,-0.24371634056342728
capacity_effect_fixed,large_fixed,small_fixed,False,cost_per_stored_t,-0.09625123384504022,-0.8298071999477619,0.6373047322576815
graph_effect_original,edge_original,large_original,False,cost_per_stored_t,2.09974681743583,1.086955032859076,3.1125386020125836
graph_effect_fixed,edge_fixed,large_fixed,False,cost_per_stored_t,2.3057469713560783,1.0826572690517204,3.528836673660436
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),False,cost_per_stored_t,0.20600015392024887,-1.3527887239003102,1.7647890317408081
future_effect_small,small_fixed,small_original,False,total_cost_per_stored_t,-4.491193217121405,-8.55307884212369,-0.4293075921191214
future_effect_large,large_fixed,large_original,False,total_cost_per_stored_t,0.839425395057215,-0.9648073236645327,2.6436581137789625
future_effect_edge,edge_fixed,edge_original,False,total_cost_per_stored_t,2.531104796580363,-7.584636922743199,12.646846515903926
capacity_effect_original,large_original,small_original,False,total_cost_per_stored_t,-5.426365132338426,-9.363662755797948,-1.4890675088789043
capacity_effect_fixed,large_fixed,small_fixed,False,total_cost_per_stored_t,-0.09574652015980548,-4.53671238086106,4.345219340541449
graph_effect_original,edge_original,large_original,False,total_cost_per_stored_t,14.250290305131292,5.157515820786831,23.343064789475754
graph_effect_fixed,edge_fixed,large_fixed,False,total_cost_per_stored_t,15.94196970665444,5.977803839808482,25.9061355735004
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),False,total_cost_per_stored_t,1.6916794015231482,-9.399523659748441,12.782882462794737
